descricao,valor,totalParcelas,dataLancamento,dataVencimento,contaId,categoriaId,clienteId,fornecedorId
Pagamento de aluguel junho,1200.00,,2026-06-01T00:00:00,2026-06-30T23:59:59,1,1,,
Conta de agua junho,85.50,,2026-06-01T00:00:00,2026-06-15T23:59:59,1,1,,
Conta de luz junho,320.00,,2026-06-01T00:00:00,2026-06-20T23:59:59,1,1,,
Internet mensal junho,150.00,,2026-06-01T00:00:00,2026-06-25T23:59:59,1,1,,
Telefone corporativo junho,89.90,,2026-06-02T00:00:00,2026-06-25T23:59:59,1,1,,
Combustivel junho,180.00,,2026-06-03T00:00:00,2026-06-30T23:59:59,1,1,,
Material de escritorio junho,95.40,,2026-06-04T00:00:00,2026-06-30T23:59:59,1,1,,
Assinatura de software junho,299.90,,2026-06-05T00:00:00,2026-06-30T23:59:59,1,1,,
Servico de contabilidade junho,800.00,,2026-06-05T00:00:00,2026-06-30T23:59:59,1,1,,
Servico de manutencao junho,250.00,,2026-06-06T00:00:00,2026-06-30T23:59:59,1,1,,
Compra de notebook,4500.00,3,2026-06-01T00:00:00,2026-06-10T23:59:59,1,1,,
Publicidade online junho,500.00,,2026-06-07T00:00:00,2026-06-30T23:59:59,1,1,,
Fornecimento de papel junho,75.00,,2026-06-07T00:00:00,2026-06-30T23:59:59,1,1,,
Servico de seguranca junho,400.00,,2026-06-08T00:00:00,2026-06-30T23:59:59,1,1,,
Despesa de viagem junho,350.00,,2026-06-09T00:00:00,2026-06-30T23:59:59,1,1,,
Assinatura de jornal junho,49.90,,2026-06-09T00:00:00,2026-06-30T23:59:59,1,1,,
Servico de TI junho,700.00,,2026-06-10T00:00:00,2026-06-30T23:59:59,1,1,,
Manutencao de servidor junho,380.00,,2026-06-11T00:00:00,2026-06-30T23:59:59,1,1,,
Seguro de veiculo junho,320.00,,2026-06-11T00:00:00,2026-07-10T23:59:59,1,1,,
Agua mineral junho,60.00,,2026-06-12T00:00:00,2026-06-30T23:59:59,1,1,,
Equipamento de escritorio,2400.00,4,2026-06-01T00:00:00,2026-06-10T23:59:59,1,1,,
Transporte de mercadoria junho,290.00,,2026-06-13T00:00:00,2026-06-30T23:59:59,1,1,,
Plano de saude junho,850.00,,2026-06-14T00:00:00,2026-06-30T23:59:59,1,1,,
Prestacao de emprestimo junho,1100.00,,2026-06-14T00:00:00,2026-06-30T23:59:59,1,1,,
Material de limpeza junho,110.00,,2026-06-15T00:00:00,2026-06-30T23:59:59,1,1,,
Assinatura de antivirus junho,199.90,,2026-06-16T00:00:00,2026-06-30T23:59:59,1,1,,
Cafe e alimentos junho,130.00,,2026-06-17T00:00:00,2026-06-30T23:59:59,1,1,,
Impressao de documentos junho,75.00,,2026-06-18T00:00:00,2026-06-30T23:59:59,1,1,,
Servico de limpeza mensal junho,480.00,,2026-06-18T00:00:00,2026-06-30T23:59:59,1,1,,
Taxa de licenca junho,120.00,,2026-06-19T00:00:00,2026-06-30T23:59:59,1,1,,
Mobiliario de escritorio,3600.00,6,2026-06-01T00:00:00,2026-06-10T23:59:59,1,1,,
Servico de courier junho,85.00,,2026-06-20T00:00:00,2026-06-30T23:59:59,1,1,,
Manutencao de ar condicionado junho,280.00,,2026-06-20T00:00:00,2026-06-30T23:59:59,1,1,,
Pagamento de aluguel julho,1200.00,,2026-07-01T00:00:00,2026-07-31T23:59:59,1,1,,
Conta de agua julho,88.00,,2026-07-01T00:00:00,2026-07-15T23:59:59,1,1,,
Conta de luz julho,340.00,,2026-07-01T00:00:00,2026-07-20T23:59:59,1,1,,
Internet mensal julho,150.00,,2026-07-01T00:00:00,2026-07-25T23:59:59,1,1,,
Telefone corporativo julho,89.90,,2026-07-02T00:00:00,2026-07-25T23:59:59,1,1,,
Combustivel julho,195.00,,2026-07-03T00:00:00,2026-07-31T23:59:59,1,1,,
Material de escritorio julho,102.00,,2026-07-04T00:00:00,2026-07-31T23:59:59,1,1,,
Veiculo comercial,18000.00,12,2026-07-01T00:00:00,2026-07-10T23:59:59,1,1,,
Assinatura de software julho,299.90,,2026-07-05T00:00:00,2026-07-31T23:59:59,1,1,,
Servico de contabilidade julho,800.00,,2026-07-05T00:00:00,2026-07-31T23:59:59,1,1,,
Servico de manutencao julho,260.00,,2026-07-06T00:00:00,2026-07-31T23:59:59,1,1,,
Publicidade online julho,550.00,,2026-07-07T00:00:00,2026-07-31T23:59:59,1,1,,
Fornecimento de papel julho,80.00,,2026-07-07T00:00:00,2026-07-31T23:59:59,1,1,,
Servico de seguranca julho,400.00,,2026-07-08T00:00:00,2026-07-31T23:59:59,1,1,,
Despesa de viagem julho,420.00,,2026-07-09T00:00:00,2026-07-31T23:59:59,1,1,,
Servico de TI julho,700.00,,2026-07-10T00:00:00,2026-07-31T23:59:59,1,1,,
Manutencao de servidor julho,380.00,,2026-07-11T00:00:00,2026-07-31T23:59:59,1,1,,
Ar condicionado,5400.00,9,2026-07-01T00:00:00,2026-07-10T23:59:59,1,1,,
Plano de saude julho,850.00,,2026-07-14T00:00:00,2026-07-31T23:59:59,1,1,,
Prestacao de emprestimo julho,1100.00,,2026-07-14T00:00:00,2026-07-31T23:59:59,1,1,,
Material de limpeza julho,115.00,,2026-07-15T00:00:00,2026-07-31T23:59:59,1,1,,
Assinatura de antivirus julho,199.90,,2026-07-16T00:00:00,2026-07-31T23:59:59,1,1,,
Cafe e alimentos julho,140.00,,2026-07-17T00:00:00,2026-07-31T23:59:59,1,1,,
Impressao de documentos julho,80.00,,2026-07-18T00:00:00,2026-07-31T23:59:59,1,1,,
Servico de limpeza mensal julho,480.00,,2026-07-18T00:00:00,2026-07-31T23:59:59,1,1,,
Taxa de licenca julho,120.00,,2026-07-19T00:00:00,2026-07-31T23:59:59,1,1,,
Servico de courier julho,90.00,,2026-07-20T00:00:00,2026-07-31T23:59:59,1,1,,
Reforma do escritorio,12000.00,6,2026-07-01T00:00:00,2026-07-10T23:59:59,1,1,,
Manutencao de ar condicionado julho,280.00,,2026-07-20T00:00:00,2026-07-31T23:59:59,1,1,,
Pagamento de aluguel agosto,1200.00,,2026-08-01T00:00:00,2026-08-31T23:59:59,1,1,,
Conta de agua agosto,90.00,,2026-08-01T00:00:00,2026-08-15T23:59:59,1,1,,
Conta de luz agosto,310.00,,2026-08-01T00:00:00,2026-08-20T23:59:59,1,1,,
Internet mensal agosto,150.00,,2026-08-01T00:00:00,2026-08-25T23:59:59,1,1,,
Telefone corporativo agosto,89.90,,2026-08-02T00:00:00,2026-08-25T23:59:59,1,1,,
Combustivel agosto,200.00,,2026-08-03T00:00:00,2026-08-31T23:59:59,1,1,,
Material de escritorio agosto,98.00,,2026-08-04T00:00:00,2026-08-31T23:59:59,1,1,,
Equipamento de seguranca,8400.00,4,2026-08-01T00:00:00,2026-08-10T23:59:59,1,1,,
Assinatura de software agosto,299.90,,2026-08-05T00:00:00,2026-08-31T23:59:59,1,1,,
Servico de contabilidade agosto,800.00,,2026-08-05T00:00:00,2026-08-31T23:59:59,1,1,,
Servico de manutencao agosto,255.00,,2026-08-06T00:00:00,2026-08-31T23:59:59,1,1,,
Publicidade online agosto,500.00,,2026-08-07T00:00:00,2026-08-31T23:59:59,1,1,,
Fornecimento de papel agosto,75.00,,2026-08-07T00:00:00,2026-08-31T23:59:59,1,1,,
Servico de seguranca agosto,400.00,,2026-08-08T00:00:00,2026-08-31T23:59:59,1,1,,
Despesa de viagem agosto,380.00,,2026-08-09T00:00:00,2026-08-31T23:59:59,1,1,,
Servico de TI agosto,700.00,,2026-08-10T00:00:00,2026-08-31T23:59:59,1,1,,
Manutencao de servidor agosto,380.00,,2026-08-11T00:00:00,2026-08-31T23:59:59,1,1,,
Plano de saude agosto,850.00,,2026-08-14T00:00:00,2026-08-31T23:59:59,1,1,,
Prestacao de emprestimo agosto,1100.00,,2026-08-14T00:00:00,2026-08-31T23:59:59,1,1,,
Seguro anual de escritorio,2400.00,2,2026-08-01T00:00:00,2026-08-10T23:59:59,1,1,,
Material de limpeza agosto,110.00,,2026-08-15T00:00:00,2026-08-31T23:59:59,1,1,,
Assinatura de antivirus agosto,199.90,,2026-08-16T00:00:00,2026-08-31T23:59:59,1,1,,
Cafe e alimentos agosto,135.00,,2026-08-17T00:00:00,2026-08-31T23:59:59,1,1,,
Impressao de documentos agosto,75.00,,2026-08-18T00:00:00,2026-08-31T23:59:59,1,1,,
Servico de limpeza mensal agosto,480.00,,2026-08-18T00:00:00,2026-08-31T23:59:59,1,1,,
Taxa de licenca agosto,120.00,,2026-08-19T00:00:00,2026-08-31T23:59:59,1,1,,
Servico de courier agosto,85.00,,2026-08-20T00:00:00,2026-08-31T23:59:59,1,1,,
Manutencao de ar condicionado agosto,280.00,,2026-08-20T00:00:00,2026-08-31T23:59:59,1,1,,
Fardamento de funcionarios,560.00,,2026-08-21T00:00:00,2026-09-21T23:59:59,1,1,,
Combustivel setembro,210.00,,2026-09-03T00:00:00,2026-09-30T23:59:59,1,1,,
Pagamento de aluguel setembro,1200.00,,2026-09-01T00:00:00,2026-09-30T23:59:59,1,1,,
Conta de agua setembro,82.00,,2026-09-01T00:00:00,2026-09-15T23:59:59,1,1,,
Conta de luz setembro,295.00,,2026-09-01T00:00:00,2026-09-20T23:59:59,1,1,,
Internet mensal setembro,150.00,,2026-09-01T00:00:00,2026-09-25T23:59:59,1,1,,
Assinatura de software setembro,299.90,,2026-09-05T00:00:00,2026-09-30T23:59:59,1,1,,
Servico de contabilidade setembro,800.00,,2026-09-05T00:00:00,2026-09-30T23:59:59,1,1,,
Plano de saude setembro,850.00,,2026-09-14T00:00:00,2026-09-30T23:59:59,1,1,,
Prestacao de emprestimo setembro,1100.00,,2026-09-14T00:00:00,2026-09-30T23:59:59,1,1,,
